MOF,MOFid,CO2_wc_001,CO2_wc_005,CO2_wc_01,CO2_wc_05,CO2_wc_25,metal_node,organic_linker,len_linkers
hMOF-30901,Clc1nccc(c1)C#Cc1ccnc(c1Cl)Cl.[Cu][Cu].[O-]C(=O)C1=CC(=C(C=[C]1)C#Cc1ccc(c(c1Cl)Cl)C(=O)[O-])Cl.[O-]C(=O)C=[C]C(=O)[O-] MOFid-v1.pcu.cat1,0.357985,1.29492,2.01681,3.79308,5.36841,[Cu][Cu],"['Clc1nccc(c1)C#Cc1ccnc(c1Cl)Cl', '[O-]C(=O)C1=CC(=C(C=[C]1)C#Cc1ccc(c(c1Cl)Cl)C(=O)[O-])Cl', '[O-]C(=O)C=[C]C(=O)[O-]']",3
hMOF-5076411,CCC1=CC(=C[C]=C1C(=O)[O-])C#Cc1c(CC)cc(c(c1CC)CC)C(=O)[O-].CCC1=[C]C(=C(C(=C1C#Cc1ccc(c(c1)CC)C(=O)[O-])CC)CC)C(=O)[O-].CCc1cnc(c(c1c1nnc(nn1)c1c(CC)cnc(c1CC)CC)CC)CC.[Cu][Cu] MOFid-v1.pcu.cat1;5076411,0.240238,1.13447,2.27496,7.28928,10.933,[Cu][Cu],"['CCC1=CC(=C[C]=C1C(=O)[O-])C#Cc1c(CC)cc(c(c1CC)CC)C(=O)[O-]', 'CCC1=[C]C(=C(C(=C1C#Cc1ccc(c(c1)CC)C(=O)[O-])CC)CC)C(=O)[O-]', 'CCc1cnc(c(c1c1nnc(nn1)c1c(CC)cnc(c1CC)CC)CC)CC']",3
hMOF-36621,Cc1nccc(c1C)N=Nc1c(C)c(C)nc(c1C)C.[Cu][Cu].[O-]C(=O)c1cc2c(C)c(C)c3c4c2c(c1C)cc(c4c(c(c3C)C(=O)[O-])C)C.[O-]C(=O)c1ccc(cc1)N=Nc1c(C)cc(cc1C)C(=O)[O-] MOFid-v1.pcu.cat1,0.525444,2.13913,3.55195,7.49672,9.57318,[Cu][Cu],"['Cc1nccc(c1C)N=Nc1c(C)c(C)nc(c1C)C', '[O-]C(=O)c1cc2c(C)c(C)c3c4c2c(c1C)cc(c4c(c(c3C)C(=O)[O-])C)C', '[O-]C(=O)c1ccc(cc1)N=Nc1c(C)cc(cc1C)C(=O)[O-]']",3
hMOF-37127,CCC1=[C]c2c(C3=[C]C(=C(C=C13)CC)C(=O)[O-])ccc1c2cc(C(=O)[O-])c(c1)CC.CCc1cc(ccc1C(=O)[O-])C(=O)[O-].CCc1ncc(nc1)CC.[Cu][Cu] MOFid-v1.pcu.cat0,0.252748,1.27528,2.24492,5.40125,7.25798,[Cu][Cu],"['CCC1=[C]c2c(C3=[C]C(=C(C=C13)CC)C(=O)[O-])ccc1c2cc(C(=O)[O-])c(c1)CC', 'CCc1cc(ccc1C(=O)[O-])C(=O)[O-]', 'CCc1ncc(nc1)CC']",3
hMOF-34574,ClC1=CC2=C(C(=[C]1)Cl)C(=C([C]=C2C(=O)[O-])Cl)C(=O)[O-].Clc1cnc(c(c1N=Nc1c(Cl)cnc(c1Cl)Cl)Cl)Cl.[Cu][Cu].[O-]C(=O)c1cc(Cl)c(c(c1)Cl)N=NC1=CC(=C([C]=[C]1)C(=O)[O-])Cl MOFid-v1.pcu.cat1,1.2531,2.80258,3.30678,4.18577,4.69192,[Cu][Cu],"['ClC1=CC2=C(C(=[C]1)Cl)C(=C([C]=C2C(=O)[O-])Cl)C(=O)[O-]', 'Clc1cnc(c(c1N=Nc1c(Cl)cnc(c1Cl)Cl)Cl)Cl', '[O-]C(=O)c1cc(Cl)c(c(c1)Cl)N=NC1=CC(=C([C]=[C]1)C(=O)[O-])Cl']",3
hMOF-5070947,CC1C(C)C2(C(=O)[O-])C(C(C1(C(=O)[O-])C(C2C)C)C)C.CC1CN2C(CN1C([C]2C)C)C.[Cu][Cu].[O-]C(=O)C12C3C4C2(C2(C1(C3C42C(=O)[O-])C)C)C MOFid-v1.pcu.cat0;5070947,0.841874,2.10149,2.34207,3.30575,3.69704,[Cu][Cu],"['CC1C(C)C2(C(=O)[O-])C(C(C1(C(=O)[O-])C(C2C)C)C)C', 'CC1CN2C(CN1C([C]2C)C)C', '[O-]C(=O)C12C3C4C2(C2(C1(C3C42C(=O)[O-])C)C)C']",3
hMOF-5060687,Cc1nc(C)c2c3c1cc(C)c1c3c(c(c2)C)c(nc1C)C.[Cu][Cu].[O-]C(=O)C#CC#CC(=O)[O-].[O-]C(=O)c1cc2cc(C)c3c4c2c(c1)c(C)cc4cc(c3C)C(=O)[O-] MOFid-v1.pcu.cat1;5060687,1.63433,2.43739,2.83279,3.72047,4.34572,[Cu][Cu],"['Cc1nc(C)c2c3c1cc(C)c1c3c(c(c2)C)c(nc1C)C', '[O-]C(=O)C#CC#CC(=O)[O-]', '[O-]C(=O)c1cc2cc(C)c3c4c2c(c1)c(C)cc4cc(c3C)C(=O)[O-]']",3
hMOF-27428,ClC1=NC(=C(C(=[C]1)C1=[C]C=NC=C1)Cl)Cl.Clc1c(ccc(c1Cl)C(=O)[O-])c1cc(Cl)c(c(c1)Cl)C(=O)[O-].[Cu][Cu].[O-]C(=O)C1=C[C]=C([C]=C1)C1=[C]C(=C(C=[C]1)C(=O)[O-])Cl MOFid-v1.pcu.cat1,0.825024,2.61779,3.7244,5.31595,6.3153,[Cu][Cu],"['ClC1=NC(=C(C(=[C]1)C1=[C]C=NC=C1)Cl)Cl', 'Clc1c(ccc(c1Cl)C(=O)[O-])c1cc(Cl)c(c(c1)Cl)C(=O)[O-]', '[O-]C(=O)C1=C[C]=C([C]=C1)C1=[C]C(=C(C=[C]1)C(=O)[O-])Cl']",3
hMOF-32612,CCCC(=CC(=O)[O-])C=C(C(=O)[O-])CCC.CCCC(=CC=C(C(=O)[O-])C[CH2])C(=O)[O-].CCCN=C(C(=N)CCC)CCC.[Cu][Cu] MOFid-v1.pcu.cat0,0.574621,1.77879,2.22592,3.06558,3.75038,[Cu][Cu],"['CCCC(=CC(=O)[O-])C=C(C(=O)[O-])CCC', 'CCCC(=CC=C(C(=O)[O-])C[CH2])C(=O)[O-]', 'CCCN=C(C(=N)CCC)CCC']",3
hMOF-37026,CCCc1ncc2c3c1cc([CH2])c1c3c(c(c2CCC)CCC)c(nc1)CCC.[Cu][Cu].[O-]C(=O)c1cc([CH2])c2c(c1)c1=C[C]=CC(=c1cc2)C(=O)[O-].[O-]C(=O)c1ccc2c(c1)c1cccc(c1cc2)C(=O)[O-] MOFid-v1.pcu.cat0,0.317501,1.51354,2.63238,8.18171,11.1074,[Cu][Cu],"['CCCc1ncc2c3c1cc([CH2])c1c3c(c(c2CCC)CCC)c(nc1)CCC', '[O-]C(=O)c1cc([CH2])c2c(c1)c1=C[C]=CC(=c1cc2)C(=O)[O-]', '[O-]C(=O)c1ccc2c(c1)c1cccc(c1cc2)C(=O)[O-]']",3
