MOF,MOFid,CO2_wc_001,CO2_wc_005,CO2_wc_01,CO2_wc_05,CO2_wc_25,metal_node,organic_linker,len_linkers
hMOF-5012490,FOC(=O)c1c(F)c(F)c(c2=CC=C([C]=c12)F)C(=O)[O-].[O-]C(=O)C#CC12C(F)C(F)(F)C(C(C1(F)F)F)(C(C2(F)F)(F)F)C#CC(=O)[O-].[O-]C(=O)c1cc(F)c(c2c1cccc2)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat1,1.33746,2.64628,3.42144,4.9379,5.7856,[Zn][O]([Zn])([Zn])[Zn],"['FOC(=O)c1c(F)c(F)c(c2=CC=C([C]=c12)F)C(=O)[O-]', '[O-]C(=O)C#CC12C(F)C(F)(F)C(C(C1(F)F)F)(C(C2(F)F)(F)F)C#CC(=O)[O-]', '[O-]C(=O)c1cc(F)c(c2c1cccc2)C(=O)[O-]']",3
hMOF-12379,[O-]C(=O)c1cc(Cl)c2c(c1Cl)cc(c(c2Cl)C(=O)[O-])Cl.[O-]C(=O)c1cc2c(Cl)c(Cl)c(c(c2c(c1Cl)Cl)Cl)C(=O)[O-].[O-]C(=O)c1ccc2c(c1Cl)cc(c(c2Cl)C(=O)[O-])Cl.[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat1,0.255138,1.10629,2.12183,4.06112,5.6234,[Zn][O]([Zn])([Zn])[Zn],"['[O-]C(=O)c1cc(Cl)c2c(c1Cl)cc(c(c2Cl)C(=O)[O-])Cl', '[O-]C(=O)c1cc2c(Cl)c(Cl)c(c(c2c(c1Cl)Cl)Cl)C(=O)[O-]', '[O-]C(=O)c1ccc2c(c1Cl)cc(c(c2Cl)C(=O)[O-])Cl']",3
hMOF-12688,Nc1cc(ccc1c1ccc(c(c1N)N)C(=O)[O-])C(=O)[O-].[O-]C(=O)c1c(N)c(N)c2c3c1[NH2][NH2]c1c3c(cc2N)c(cc1N)C(=O)[O-].[O-]C(=O)c1cc2c3ccc(c(c3cc(c2cc1N)N)C(=O)[O-])N.[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat1,0.251929,1.03799,2.15457,4.79016,7.09493,[Zn][O]([Zn])([Zn])[Zn],"['Nc1cc(ccc1c1ccc(c(c1N)N)C(=O)[O-])C(=O)[O-]', '[O-]C(=O)c1c(N)c(N)c2c3c1[NH2][NH2]c1c3c(cc2N)c(cc1N)C(=O)[O-]', '[O-]C(=O)c1cc2c3ccc(c(c3cc(c2cc1N)N)C(=O)[O-])N']",3
hMOF-14274,[O-]C(=O)C#Cc1ccc(c(c1)F)C#CC(=O)[O-].[O-]C(=O)c1cc2cc(F)c3c4c2c(c1F)c(F)c(c4c(c(c3)C(=O)[O-])F)F.[O-]C(=O)c1cc2cc(F)c3c4c2c(c1F)cc(c4c(c(c3)C(=O)[O-])F)F.[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat2,0.769498,2.05714,3.02787,5.26333,7.06618,[Zn][O]([Zn])([Zn])[Zn],"['[O-]C(=O)C#Cc1ccc(c(c1)F)C#CC(=O)[O-]', '[O-]C(=O)c1cc2cc(F)c3c4c2c(c1F)c(F)c(c4c(c(c3)C(=O)[O-])F)F', '[O-]C(=O)c1cc2cc(F)c3c4c2c(c1F)cc(c4c(c(c3)C(=O)[O-])F)F']",3
hMOF-5016194,[O-]C(=O)C#CC12C3C4C1C1(C2C3(C41C#CC(=O)[O-])F)F.[O-]C(=O)c1cc(F)c(c(c1)F)C(=O)[O-].[O-]C(=O)c1ccc(c(c1)F)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat1;5016194,0.402008,1.60736,2.64969,5.06623,8.16846,[Zn][O]([Zn])([Zn])[Zn],"['[O-]C(=O)C#CC12C3C4C1C1(C2C3(C41C#CC(=O)[O-])F)F', '[O-]C(=O)c1cc(F)c(c(c1)F)C(=O)[O-]', '[O-]C(=O)c1ccc(c(c1)F)C(=O)[O-]']",3
hMOF-12728,FOC(=O)C1=C(F)C=[C]C2=C1[C]=C(F)C1=CC(=C([C]=C21)C(=O)[O-])F.Fc1c(F)c(c2ccc(c(c2)F)C(=O)[O-])c(c(c1c1cc(F)c(cc1F)C(=O)[O-])F)F.[O-]C(=O)c1cc(F)c(c(c1)F)c1cc(F)c(cc1F)c1c(F)cc(cc1F)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat2,0.395008,1.66662,2.69001,5.77788,8.6492,[Zn][O]([Zn])([Zn])[Zn],"['FOC(=O)C1=C(F)C=[C]C2=C1[C]=C(F)C1=CC(=C([C]=C21)C(=O)[O-])F', 'Fc1c(F)c(c2ccc(c(c2)F)C(=O)[O-])c(c(c1c1cc(F)c(cc1F)C(=O)[O-])F)F', '[O-]C(=O)c1cc(F)c(c(c1)F)c1cc(F)c(cc1F)c1c(F)cc(cc1F)C(=O)[O-]']",3
hMOF-5011589,[O-]C(=O)C#CC12CCC(C(C1F)F)(C(C2F)(F)F)C#CC(=O)[O-].[O-]C(=O)C#Cc1cc(F)c(cc1F)C#CC(=O)[O-].[O-]C(=O)C#Cc1ccc(c(c1)F)C#CC(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat3,0.405987,1.63625,2.39908,3.92698,4.74713,[Zn][O]([Zn])([Zn])[Zn],"['[O-]C(=O)C#CC12CCC(C(C1F)F)(C(C2F)(F)F)C#CC(=O)[O-]', '[O-]C(=O)C#Cc1cc(F)c(cc1F)C#CC(=O)[O-]', '[O-]C(=O)C#Cc1ccc(c(c1)F)C#CC(=O)[O-]']",3
hMOF-14277,[O-]C(=O)C#Cc1cc(F)c(c(c1)F)C#CC(=O)[O-].[O-]C(=O)c1cc2cc(F)c3c4c2c(c1F)c(F)c(c4c(c(c3F)C(=O)[O-])F)F.[O-]C(=O)c1cc2ccc3c4c2c(c1)ccc4c(c(c3)C(=O)[O-])F.[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat2,0.35807,1.32836,2.32776,4.48513,6.49011,[Zn][O]([Zn])([Zn])[Zn],"['[O-]C(=O)C#Cc1cc(F)c(c(c1)F)C#CC(=O)[O-]', '[O-]C(=O)c1cc2cc(F)c3c4c2c(c1F)c(F)c(c4c(c(c3F)C(=O)[O-])F)F', '[O-]C(=O)c1cc2ccc3c4c2c(c1)ccc4c(c(c3)C(=O)[O-])F']",3
hMOF-5022148,FC1=CC(=C([C]=C1C=[C]c1cc(F)c(c(c1)F)C(=O)[O-])F)C(=O)[O-].[O-]C(=O)C#CC12CC(F)(F)C(C(C1F)(F)F)(C(C2F)(F)F)C#CC(=O)[O-].[O-]C(=O)C#CC12CC(F)C(C(C1)F)(CC2F)C#CC(=O)[O-].[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat3;5022148,0.751849,1.93432,2.51732,3.39593,4.34243,[Zn][O]([Zn])([Zn])[Zn],"['FC1=CC(=C([C]=C1C=[C]c1cc(F)c(c(c1)F)C(=O)[O-])F)C(=O)[O-]', '[O-]C(=O)C#CC12CC(F)(F)C(C(C1F)(F)F)(C(C2F)(F)F)C#CC(=O)[O-]', '[O-]C(=O)C#CC12CC(F)C(C(C1)F)(CC2F)C#CC(=O)[O-]']",3
hMOF-15089,FOC(=O)c1c2[C]=C(F)C(=Cc2c(c(c1F)F)C(=O)[O-])F.[O-]C(=O)c1cc2c(F)cc3c4c2c(c1)c(F)c(c4cc(c3F)C(=O)[O-])F.[O-]C(=O)c1cc2ccc3c4c2c(c1)ccc4c(c(c3F)C(=O)[O-])F.[Zn][O]([Zn])([Zn])[Zn] MOFid-v1.pcu.cat1,0.615121,2.15591,3.47979,6.57124,8.22675,[Zn][O]([Zn])([Zn])[Zn],"['FOC(=O)c1c2[C]=C(F)C(=Cc2c(c(c1F)F)C(=O)[O-])F', '[O-]C(=O)c1cc2c(F)cc3c4c2c(c1)c(F)c(c4cc(c3F)C(=O)[O-])F', '[O-]C(=O)c1cc2ccc3c4c2c(c1)ccc4c(c(c3F)C(=O)[O-])F']",3
