uuid,molecule,fragments,linker,anchor_1,anchor_2,energy,idx,keep
27,O=C([O-])c1ccc(-c2cc(F)c(-c3c(F)cc(C(=O)[O-])c(F)c3F)c(F)c2)c(F)c1,O=C([O-])c1cc(F)cc(F)c1F.O=C([O-])c1cccc(F)c1,Fc1cccc(F)c1,7,18,56.42846546961061,27,True
0,CCCc1cc(C(=O)[O-])ccc1-c1nnc(-c2ccc(C(=O)[O-])cc2)nn1,CCCc1cccc(C(=O)[O-])c1.O=C([O-])c1ccccc1,c1nncnn1,11,18,50.5161783557933,0,True
14,O=C([O-])c1ccc(C(F)=Cc2ccc(C(=O)[O-])c(F)c2)c(F)c1,O=C([O-])c1cccc(F)c1.O=C([O-])c1ccccc1F,C=CF,6,16,41.50069211763262,14,True
25,O=C([O-])c1ccc(C(F)=Cc2ccc(C(=O)[O-])c(F)c2F)cc1F,O=C([O-])c1cccc(F)c1F.O=C([O-])c1ccccc1F,C=CF,6,16,42.38877077306154,25,True
34,Cc1cc(-c2nnc(-c3c(C)cnc(C)c3C)nn2)c(C)c(C)n1,Cc1ccc(C)c(C)n1.Cc1cnc(C)c(C)c1,c1nncnn1,3,17,64.18768601654742,34,True
0,Nc1cc(C(=O)[O-])ccc1-c1nnc(-c2c(N)cc(C(=O)[O-])c(N)c2N)nn1,Nc1cc(N)c(N)c(C(=O)[O-])c1.Nc1cccc(C(=O)[O-])c1,c1nncnn1,11,21,69.90721086991559,0,True
9,Nc1cc(-c2nnc(-c3ccnc(N)c3N)nn2)cc(N)n1,Nc1cccc(N)n1.Nc1cccnc1N,c1nncnn1,3,13,47.70419458343972,9,True
15,O=C([O-])c1cc(F)c(-c2cc(F)c(-c3c(F)cc(C(=O)[O-])c(F)c3F)cc2F)cc1F,O=C([O-])c1cc(F)cc(F)c1F.O=C([O-])c1cc(F)ccc1F,Fc1ccc(F)cc1,7,19,57.71534544741474,15,True
27,O=C([O-])c1ccc(-c2c(Cl)cc(-c3c(Cl)c(Cl)c(C(=O)[O-])c(Cl)c3Cl)c(Cl)c2Cl)cc1,O=C([O-])c1c(Cl)c(Cl)cc(Cl)c1Cl.O=C([O-])c1ccccc1,Clc1ccc(Cl)c(Cl)c1,8,19,70.87423037537162,27,True
0,Cc1cc(-c2nnc(-c3cc(C)c(C(=O)[O-])c(C)c3)nn2)c(C)cc1C(=O)[O-],Cc1ccc(C)c(C(=O)[O-])c1.Cc1cccc(C)c1C(=O)[O-],c1nncnn1,3,14,68.33363289195523,0,True
10,O=C([O-])c1ccc(-c2nnc(-c3ccc(C(=O)[O-])cc3F)nn2)cc1,O=C([O-])c1cccc(F)c1.O=C([O-])c1ccccc1,c1nncnn1,6,15,43.578824104000965,10,True
18,CC(C#CC(=O)[O-])=CC#CC(=O)[O-],C#CC(=O)[O-].C#CC(=O)[O-],C=CC,4,9,2.2565308980697814,18,True
26,O=C([O-])C#CC=C(F)C#CC(=O)[O-],C#CC(=O)[O-].C#CC(=O)[O-],C=CF,4,9,0.3011262356702235,26,True
