uuid,molecule,fragments,linker,anchor_1,anchor_2,energy,idx,keep
12,O=C([O-])c1cc(F)c(-c2ccc(-c3cc(F)c(C(=O)[O-])c(F)c3F)cc2F)c(F)c1F,O=C([O-])c1c(F)ccc(F)c1F.O=C([O-])c1cc(F)cc(F)c1F,Fc1ccccc1,7,19,58.40733649235423,12,True
25,O=C([O-])c1ccc(C=C(F)c2ccc(C(=O)[O-])c(F)c2F)c(F)c1,O=C([O-])c1cccc(F)c1.O=C([O-])c1cccc(F)c1F,C=CF,6,17,42.16088333770233,25,True
0,O=C([O-])c1ccc(-c2nnc(-c3c(F)c(F)c(C(=O)[O-])c(F)c3F)nn2)cc1F,O=C([O-])c1c(F)c(F)cc(F)c1F.O=C([O-])c1ccccc1F,c1nncnn1,8,19,49.0165739856672,0,True
9,O=C([O-])c1ccc(-c2nnc(-c3ccc(C(=O)[O-])cc3F)nn2)cc1,O=C([O-])c1cccc(F)c1.O=C([O-])c1ccccc1,c1nncnn1,6,15,43.578824104000965,9,True
17,NC(=Cc1cc(N)nc(N)c1)c1cc(N)ncc1N,Nc1ccc(N)nc1.Nc1cccc(N)n1,C=CN,3,11,42.14193951148568,17,True
0,NC(=Cc1ccc(C(=O)[O-])cc1)c1ccc(C(=O)[O-])cc1N,Nc1cccc(C(=O)[O-])c1.O=C([O-])c1ccccc1,C=CN,9,16,46.4751033609116,0,True
11,Cc1nccc(-c2nnc(-c3ccncc3)nn2)c1C,Cc1cccnc1C.c1ccncc1,c1nncnn1,5,10,47.08918055993859,11,True
18,CC(C#CC(=O)[O-])=C(C)C#CC(=O)[O-],C#CC(=O)[O-].C#CC(=O)[O-],CC=CC,4,9,5.192212176541918,18,True
0,Cc1cc(-c2ccc(-c3cc(C)c(C(=O)[O-])cc3C)cc2C)ccc1C(=O)[O-],Cc1ccc(C)c(C(=O)[O-])c1.Cc1ccccc1C(=O)[O-],Cc1ccccc1,3,14,73.49575796232655,0,True
9,Cc1cc(-c2ccc(-c3c(C)cncc3C)cc2C)ccn1,Cc1ccccn1.Cc1cncc(C)c1,Cc1ccccc1,3,14,59.54380984638696,9,True
17,O=C([O-])c1ccc(-c2cc(F)c(-c3ccc(C(=O)[O-])c(F)c3F)c(F)c2F)c(F)c1F,O=C([O-])c1cccc(F)c1F.O=C([O-])c1cccc(F)c1F,Fc1ccc(F)c(F)c1,6,17,57.89343780294178,17,True
0,O=C([O-])c1ccc(C=C(F)c2cc(F)c(C(=O)[O-])c(F)c2F)cc1F,O=C([O-])c1c(F)ccc(F)c1F.O=C([O-])c1ccccc1F,C=CF,7,18,44.118369286885965,0,True
12,O=C([O-])c1cc(F)c(C=C(F)c2cc(F)c(C(=O)[O-])cc2F)cc1F,O=C([O-])c1cc(F)ccc1F.O=C([O-])c1cc(F)ccc1F,C=CF,7,18,43.35368172345952,12,True
27,Cc1c(C(=O)[O-])ccc(-c2nnc(-c3ccc(C(=O)[O-])cc3)nn2)c1C,Cc1cccc(C(=O)[O-])c1C.O=C([O-])c1ccccc1,c1nncnn1,8,17,60.42061574168036,27,True
0,CC(C#CC(=O)[O-])=CC#CC(=O)[O-],C#CC(=O)[O-].C#CC(=O)[O-],C=CC,4,9,2.2565308980697814,0,True
40,O=C([O-])c1ccc(-c2c(Cl)cc(-c3c(Cl)cc(C(=O)[O-])c(Cl)c3Cl)c(Cl)c2Cl)c(Cl)c1Cl,O=C([O-])c1cc(Cl)cc(Cl)c1Cl.O=C([O-])c1cccc(Cl)c1Cl,Clc1ccc(Cl)c(Cl)c1,7,18,71.9976938106456,40,True
47,Cc1cc(C(=O)[O-])c(C)c(C)c1-c1nnc(-c2ccc(C(=O)[O-])cc2)nn1,Cc1cc(C)c(C)c(C(=O)[O-])c1.O=C([O-])c1ccccc1,c1nncnn1,11,18,65.69657590385418,47,True
0,O=C([O-])C#CC(F)=C(F)C#CC(=O)[O-],C#CC(=O)[O-].C#CC(=O)[O-],FC=CF,4,9,0.7713493599883552,0,True
21,CC(C#CC(=O)[O-])=CC#CC(=O)[O-],C#CC(=O)[O-].C#CC(=O)[O-],C=CC,4,9,2.2565308980697814,21,True
61,Fc1cc(-c2ccnc(F)c2F)ccc1-c1c(F)cnc(F)c1F,Fc1cccnc1F.Fc1cnc(F)c(F)c1,Fc1ccccc1,8,14,48.97770664029083,61,True
0,O=C([O-])c1cc(F)c(-c2ccc(-c3cc(F)c(C(=O)[O-])c(F)c3F)c(F)c2)c(F)c1,O=C([O-])c1c(F)ccc(F)c1F.O=C([O-])c1cc(F)cc(F)c1,Fc1ccccc1,7,19,57.22601983224041,0,True
14,Cc1nc(C)c(C)c(-c2ccc(-c3ccncc3)cc2)c1C,Cc1cc(C)c(C)nc1C.c1ccncc1,c1ccccc1,7,12,61.4602075434651,14,True
18,O=C([O-])c1ccc(-c2ccc(-c3cc(F)c(C(=O)[O-])c(F)c3F)cc2F)c(F)c1F,O=C([O-])c1c(F)ccc(F)c1F.O=C([O-])c1cccc(F)c1F,Fc1ccccc1,7,18,57.657018098713394,18,True
0,O=C([O-])C#CC(F)=C(F)C#CC(=O)[O-],C#CC(=O)[O-].C#CC(=O)[O-],FC=CF,4,9,0.7713493599883552,0,True
21,CCCC(C#CC(=O)[O-])=CC#CC(=O)[O-],C#CC(=O)[O-].C#CC(=O)[O-],C=CCCC,4,9,3.972584732247089,21,True
30,O=C([O-])c1ccc(-c2cc(F)c(-c3ccc(C(=O)[O-])c(F)c3F)cc2F)c(F)c1F,O=C([O-])c1cccc(F)c1F.O=C([O-])c1cccc(F)c1F,Fc1ccc(F)cc1,6,17,57.06631056736763,30,True
0,O=C([O-])c1ccc(C=C(F)c2ccc(C(=O)[O-])c(F)c2F)cc1F,O=C([O-])c1cccc(F)c1F.O=C([O-])c1ccccc1F,C=CF,6,16,42.82978058930073,0,True
12,O=C([O-])c1ccc(C(F)=C(F)c2ccc(C(=O)[O-])c(F)c2)c(F)c1,O=C([O-])c1cccc(F)c1.O=C([O-])c1ccccc1F,FC=CF,6,16,43.48203944185699,12,True
27,Cc1cc(-c2nnc(-c3ccc(C(=O)[O-])c(C)c3)nn2)ccc1C(=O)[O-],Cc1ccccc1C(=O)[O-].Cc1ccccc1C(=O)[O-],c1nncnn1,3,13,55.39994929714348,27,True
0,O=C([O-])c1ccc(-c2cc(F)c(-c3ccc(C(=O)[O-])c(F)c3F)cc2F)c(F)c1,O=C([O-])c1cccc(F)c1.O=C([O-])c1cccc(F)c1F,Fc1ccc(F)cc1,6,17,55.832032805036704,0,True
15,O=C([O-])c1ccc(-c2ccc(-c3cc(Cl)c(C(=O)[O-])c(Cl)c3Cl)cc2Cl)cc1Cl,O=C([O-])c1c(Cl)ccc(Cl)c1Cl.O=C([O-])c1ccccc1Cl,Clc1ccccc1,7,18,68.0342582865112,15,True
28,Clc1cc(-c2ccc(-c3ccncc3Cl)c(Cl)c2)c(Cl)c(Cl)n1,Clc1ccc(Cl)c(Cl)n1.Clc1cccnc1,Clc1ccccc1,3,15,51.73670903043418,28,True
0,O=C([O-])c1cc(Cl)c(-c2nnc(-c3ccc(C(=O)[O-])c(Cl)c3Cl)nn2)cc1Cl,O=C([O-])c1cc(Cl)ccc1Cl.O=C([O-])c1cccc(Cl)c1Cl,c1nncnn1,7,17,60.18509881055206,0,True
8,O=C([O-])c1cc(C(=O)[O-])cc(-c2ccc(-c3cc(C(=O)[O-])cc(C(=O)[O-])c3)cc2)c1,O=C([O-])c1cccc(C(=O)[O-])c1.O=C([O-])c1cccc(C(=O)[O-])c1,c1ccccc1,10,22,56.75779492849338,8,True
23,Cc1cc(-c2nnc(-c3c(C)cc(C(=O)[O-])c(C)c3C)nn2)cc(C)c1C(=O)[O-],Cc1cc(C)c(C)c(C(=O)[O-])c1.Cc1cccc(C)c1C(=O)[O-],c1nncnn1,11,15,78.40042606707235,23,True
0,Cc1cc(C(=O)[O-])c(C)c(C)c1-c1nnc(-c2ccc(C(=O)[O-])cc2)nn1,Cc1cc(C)c(C)c(C(=O)[O-])c1.O=C([O-])c1ccccc1,c1nncnn1,11,18,65.69657590385418,0,True
30,O=C([O-])c1c(F)cc(-c2nnc(-c3cc(F)c(C(=O)[O-])c(F)c3F)nn2)cc1F,O=C([O-])c1c(F)ccc(F)c1F.O=C([O-])c1c(F)cccc1F,c1nncnn1,7,18,48.73316408748232,30,True
35,O=C([O-])c1cc(Cl)c(-c2cc(Cl)c(-c3c(Cl)cc(C(=O)[O-])c(Cl)c3Cl)c(Cl)c2Cl)c(Cl)c1,O=C([O-])c1cc(Cl)cc(Cl)c1.O=C([O-])c1cc(Cl)cc(Cl)c1Cl,Clc1ccc(Cl)c(Cl)c1,7,19,66.87559543309567,35,True
0,Clc1cc(-c2c(Cl)cnc(Cl)c2Cl)ccc1-c1ccnc(Cl)c1Cl,Clc1cccnc1Cl.Clc1cnc(Cl)c(Cl)c1,Clc1ccccc1,8,14,54.226924455573,0,True
4,Cc1cc(-c2ccc(-c3ccncc3)cc2)c(C)c(C)n1,Cc1ccc(C)c(C)n1.c1ccncc1,c1ccccc1,3,11,54.96302246385058,4,True
9,Cc1cc(-c2ccc(-c3c(C)cc(C(=O)[O-])c(C)c3C)c(C)c2)ccc1C(=O)[O-],Cc1cc(C)c(C)c(C(=O)[O-])c1.Cc1ccccc1C(=O)[O-],Cc1ccccc1,11,15,80.00720411230914,9,True
0,O=C([O-])c1ccc(-c2ccc(-c3ccc(C(=O)[O-])cc3F)c(F)c2F)cc1,O=C([O-])c1cccc(F)c1.O=C([O-])c1ccccc1,Fc1ccccc1F,6,15,53.90846882383341,0,True
12,O=C([O-])c1ccc(-c2ccc(-c3ccc(C(=O)[O-])c(F)c3F)c(F)c2)c(F)c1,O=C([O-])c1cccc(F)c1.O=C([O-])c1cccc(F)c1F,Fc1ccccc1,6,17,55.05680733217094,12,True
25,O=C([O-])c1ccc(-c2ccc(-c3ccc(C(=O)[O-])cc3F)c(F)c2)c(F)c1,O=C([O-])c1cccc(F)c1.O=C([O-])c1cccc(F)c1,Fc1ccccc1,6,16,53.822343373473686,25,True
0,NC(=Cc1ccc(C(=O)[O-])cc1N)c1ccc(C(=O)[O-])c(N)c1,Nc1cccc(C(=O)[O-])c1.Nc1ccccc1C(=O)[O-],C=CN,9,13,52.83311400539278,0,True
13,Fc1cc(-c2c(F)cnc(F)c2F)c(F)cc1-c1c(F)cnc(F)c1F,Fc1cnc(F)c(F)c1.Fc1cnc(F)c(F)c1,Fc1ccc(F)cc1,8,17,50.48033856191416,13,True
19,O=C([O-])c1ccc(-c2cc(F)c(-c3ccc(C(=O)[O-])cc3F)cc2F)cc1,O=C([O-])c1cccc(F)c1.O=C([O-])c1ccccc1,Fc1ccc(F)cc1,6,15,53.81499697310532,19,True
0,O=C([O-])c1ccc(-c2cc(Cl)c(-c3ccc(C(=O)[O-])c(Cl)c3)cc2Cl)cc1,O=C([O-])c1ccccc1.O=C([O-])c1ccccc1Cl,Clc1ccc(Cl)cc1,6,16,59.22576737586735,0,True
13,c1ccc(-c2cc(-c3ccnc(-c4ccccc4)c3-c3ccccc3)ccn2)cc1,c1ccc(-c2cccnc2-c2ccccc2)cc1.c1ccccc1,c1ccncc1,8,21,81.21319627655308,13,True
27,Cc1cc(-c2c(C)c(C)c(C(=O)[O-])c(C)c2C)cc(C)c1-c1c(C)cc(C(=O)[O-])c(C)c1C,Cc1cc(C)c(C)c(C(=O)[O-])c1.Cc1cc(C)c(C)c(C(=O)[O-])c1C,Cc1cccc(C)c1,4,24,106.03094332715406,27,True
0,Cc1cc(-c2cc(C)c(-c3ccc(C(=O)[O-])cc3)c(C)c2)c(C)cc1C(=O)[O-],Cc1ccc(C)c(C(=O)[O-])c1.O=C([O-])c1ccccc1,Cc1cccc(C)c1,3,17,70.70290272636339,0,True
8,O=C([O-])C#CC=C(F)C#CC(=O)[O-],C#CC(=O)[O-].C#CC(=O)[O-],C=CF,4,9,0.3011262356702235,8,True
22,O=C([O-])c1ccc(-c2ccc(-c3c(F)cc(C(=O)[O-])c(F)c3F)c(F)c2)cc1F,O=C([O-])c1cc(F)cc(F)c1F.O=C([O-])c1ccccc1F,Fc1ccccc1,7,18,55.96822969328738,22,True
