uuid,molecule,fragments,linker,anchor_1,anchor_2,energy,idx,keep
33,O=C([O-])c1cc(F)c(C=C(F)c2ccc(C(=O)[O-])c(F)c2F)cc1F,O=C([O-])c1cc(F)ccc1F.O=C([O-])c1cccc(F)c1F,C=CF,7,17,43.37939525789903,33,True
57,O=C([O-])c1ccc(-c2ccc(-c3ccc(C(=O)[O-])c(Cl)c3)c(Cl)c2Cl)cc1,O=C([O-])c1ccccc1.O=C([O-])c1ccccc1Cl,Clc1ccccc1Cl,6,16,60.93782910741086,57,True
71,O=C([O-])c1cc(Cl)c(-c2ccc(-c3c(Cl)c(Cl)c(C(=O)[O-])c(Cl)c3Cl)c(Cl)c2)c(Cl)c1Cl,O=C([O-])c1c(Cl)c(Cl)cc(Cl)c1Cl.O=C([O-])c1cc(Cl)cc(Cl)c1Cl,Clc1ccccc1,8,20,75.06396756671158,71,True
78,O=C([O-])c1ccc(C(F)=Cc2cc(F)c(C(=O)[O-])c(F)c2F)c(F)c1F,O=C([O-])c1c(F)ccc(F)c1F.O=C([O-])c1cccc(F)c1F,C=CF,7,18,44.76160950386162,78,True
108,O=C([O-])c1ccc(C(F)=C(F)c2cc(F)c(C(=O)[O-])c(F)c2)c(F)c1F,O=C([O-])c1c(F)cccc1F.O=C([O-])c1cccc(F)c1F,FC=CF,7,17,45.99649121004959,108,True
124,O=C([O-])c1ccc(-c2nnc(-c3cc(F)c(C(=O)[O-])cc3F)nn2)c(F)c1,O=C([O-])c1cc(F)ccc1F.O=C([O-])c1cccc(F)c1,c1nncnn1,7,17,46.13220574919698,124,True
0,O=C([O-])c1ccc(-c2nnc(-c3cc(F)c(C(=O)[O-])c(F)c3F)nn2)cc1,O=C([O-])c1c(F)ccc(F)c1F.O=C([O-])c1ccccc1,c1nncnn1,7,18,46.22749649150087,0,True
5,O=C([O-])c1ccc(-c2nnc(-c3ccc(C(=O)[O-])c(F)c3F)nn2)cc1F,O=C([O-])c1cccc(F)c1F.O=C([O-])c1ccccc1F,c1nncnn1,6,16,45.99101872359898,5,True
12,COC(=Cc1cc(OC)c(C(=O)[O-])cc1OC)c1c(OC)cc(C(=O)[O-])cc1OC,COc1cc(OC)cc(C(=O)[O-])c1.COc1ccc(OC)c(C(=O)[O-])c1,C=COC,12,17,59.93219617635477,12,True
27,O=C([O-])c1ccc(-c2cc(F)c(-c3ccc(C(=O)[O-])c(F)c3)c(F)c2)c(F)c1,O=C([O-])c1cccc(F)c1.O=C([O-])c1ccccc1F,Fc1cccc(F)c1,6,16,54.972201640532326,27,True
59,O=C([O-])c1ccc(-c2ccc(-c3c(F)c(F)c(C(=O)[O-])c(F)c3F)cc2F)c(F)c1,O=C([O-])c1c(F)c(F)cc(F)c1F.O=C([O-])c1cccc(F)c1,Fc1ccccc1,8,19,57.34697806334532,59,True
104,O=C([O-])c1ccc(-c2nnc(-c3c(F)c(F)c(C(=O)[O-])c(F)c3F)nn2)cc1,O=C([O-])c1c(F)c(F)cc(F)c1F.O=C([O-])c1ccccc1,c1nncnn1,8,19,47.87363551039272,104,True
120,O=C([O-])c1ccc(-c2ccc(-c3cc(F)c(C(=O)[O-])c(F)c3F)c(F)c2F)c(F)c1,O=C([O-])c1c(F)ccc(F)c1F.O=C([O-])c1cccc(F)c1,Fc1ccccc1F,7,18,57.282267849443,120,True
0,O=C([O-])c1ccc(-c2cc(F)c(-c3c(F)cc(C(=O)[O-])cc3F)c(F)c2F)c(F)c1,O=C([O-])c1cc(F)cc(F)c1.O=C([O-])c1cccc(F)c1,Fc1ccc(F)c(F)c1,7,17,56.041015986858994,0,True
12,O=C([O-])C#CC=C(F)C#CC(=O)[O-],C#CC(=O)[O-].C#CC(=O)[O-],C=CF,4,9,0.301163404164368,12,True
84,O=C([O-])C#CC(F)=C(F)C#CC(=O)[O-],C#CC(=O)[O-].C#CC(=O)[O-],FC=CF,4,9,0.77134936022429,84,True
154,O=C([O-])c1cc(F)c(-c2ccc(-c3c(F)cc(C(=O)[O-])c(F)c3F)cc2)c(F)c1,O=C([O-])c1cc(F)cc(F)c1.O=C([O-])c1cc(F)cc(F)c1F,c1ccccc1,7,19,55.91574195288055,154,True
164,O=C([O-])c1c(F)cc(-c2ccc(-c3cc(F)c(C(=O)[O-])c(F)c3)c(F)c2)cc1F,O=C([O-])c1c(F)cccc1F.O=C([O-])c1c(F)cccc1F,Fc1ccccc1,7,18,57.01355761479239,164,True
176,O=C([O-])c1ccc(C(F)=C(F)c2ccc(C(=O)[O-])cc2)cc1,O=C([O-])c1ccccc1.O=C([O-])c1ccccc1,FC=CF,6,15,41.56101907220039,176,True
187,O=C([O-])c1ccc(C(F)=Cc2cc(F)c(C(=O)[O-])c(F)c2F)c(F)c1F,O=C([O-])c1c(F)ccc(F)c1F.O=C([O-])c1cccc(F)c1F,C=CF,7,18,44.76160950386162,187,True
0,O=C([O-])c1ccc(C=C(F)c2ccc(C(=O)[O-])cc2)cc1,O=C([O-])c1ccccc1.O=C([O-])c1ccccc1,C=CF,6,15,39.46421876157064,0,True
42,O=C([O-])c1cc(F)c(-c2ccc(-c3cc(F)c(C(=O)[O-])c(F)c3F)cc2)c(F)c1F,O=C([O-])c1c(F)ccc(F)c1F.O=C([O-])c1cc(F)cc(F)c1F,c1ccccc1,7,19,57.70274221273314,42,True
62,O=C([O-])c1ccc(-c2cc(F)c(-c3cc(F)c(C(=O)[O-])cc3F)c(F)c2F)cc1F,O=C([O-])c1cc(F)ccc1F.O=C([O-])c1ccccc1F,Fc1ccc(F)c(F)c1,7,17,56.93614585646493,62,True
